Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"KL City, Kuala Lumpur",2150000,3,3.0,1,Serviced Residence (Corner),1345,Partly Furnished,Serviced Residence,3.1543,101.7155
"KL City, Kuala Lumpur",1350000,2,2.0,2,Serviced Residence (Corner),1076,Fully Furnished,Serviced Residence,3.1543,101.7155
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000,2,2.0,1,Condominium,764,Fully Furnished,Condo,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",2150000,5,4.0,3,Serviced Residence,2500,Partly Furnished,Serviced Residence,3.0593,101.6895
"Setapak, Kuala Lumpur",390000,3,2.0,1,Condominium (Intermediate),1180,Unfurnished,Condo,3.2061,101.7271
"KLCC, Kuala Lumpur",1300000,3,2.0,1,Serviced Residence (Intermediate),1259,Fully Furnished,Serviced Residence,3.1578,101.7123
"Cheras, Kuala Lumpur",310000,3,2.0,1,Apartment (Intermediate),860,Partly Furnished,Apartment,3.0958,101.7405
"Cheras, Kuala Lumpur",305000,3,2.0,1,Apartment (Intermediate),800,Partly Furnished,Apartment,3.0958,101.7405
"Cheras, Kuala Lumpur",488000,3,2.0,2,Townhouse (Intermediate),1470,Partly Furnished,Townhouse,3.0958,101.7405
"Cheras, Kuala Lumpur",1250000,2,2.0,1,Serviced Residence,915,Fully Furnished,Serviced Residence,3.0958,101.7405
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",695000,3,2.0,1,Condominium (Intermediate),1086,Partly Furnished,Condo,3.0925,101.6748
"Pantai, Kuala Lumpur",430000,3,2.0,1,Condominium (Intermediate),1088,Partly Furnished,Condo,3.1136,101.6633
"Sri Petaling, Kuala Lumpur",275000,3,2.0,1,Apartment (Intermediate),920,Partly Furnished,Apartment,3.0671,101.6901
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",340000,3,2.0,1,Apartment (Intermediate),950,Partly Furnished,Apartment,3.0925,101.6748
"Sri Petaling, Kuala Lumpur",400000,3,2.0,1,Condominium,1169,Fully Furnished,Condo,3.0671,101.6901
"Setapak, Kuala Lumpur",690000,3,2.0,2,Serviced Residence (Duplex),2110,Fully Furnished,Serviced Residence,3.2061,101.7271
"Jalan Ipoh, Kuala Lumpur",390000,3,2.0,1,Condominium,1100,Partly Furnished,Condo,3.1934,101.6761
"Ampang Hilir, Kuala Lumpur",640000,2,2.0,1,Serviced Residence,950,Fully Furnished,Serviced Residence,3.1532,101.7475
"Cheras, Kuala Lumpur",420000,1,1.0,1,Serviced Residence (Intermediate),610,Fully Furnished,Serviced Residence,3.0958,101.7405
"Batu Caves, Kuala Lumpur",530000,3,2.0,2,Serviced Residence,975,Partly Furnished,Serviced Residence,3.236,101.6841
"Batu Caves, Kuala Lumpur",572000,3,3.0,2,Serviced Residence,1125,Partly Furnished,Serviced Residence,3.236,101.6841
"Batu Caves, Kuala Lumpur",520000,3,2.0,2,Serviced Residence,975,Partly Furnished,Serviced Residence,3.236,101.6841
"Cheras, Kuala Lumpur",470000,3,2.0,1,Condominium,900,Partly Furnished,Condo,3.0958,101.7405
"KLCC, Kuala Lumpur",1900000,4,5.0,1,Condominium,2315,Partly Furnished,Condo,3.1578,101.7123
"Sri Hartamas, Kuala Lumpur",2900000,6,4.0,3,Condominium (Corner),3983,Fully Furnished,Condo,3.1665,101.6575
"Pantai, Kuala Lumpur",630000,3,2.0,2,Serviced Residence (Corner),900,Partly Furnished,Serviced Residence,3.1136,101.6633
"Pantai, Kuala Lumpur",540000,3,2.0,2,Serviced Residence (Intermediate),805,Partly Furnished,Serviced Residence,3.1136,101.6633
"Pantai, Kuala Lumpur",360000,2,1.0,1,Serviced Residence (Studio),518,Partly Furnished,Serviced Residence,3.1136,101.6633
"Pantai, Kuala Lumpur",540000,3,2.0,2,Serviced Residence (Intermediate),805,Partly Furnished,Serviced Residence,3.1136,101.6633
"Pantai, Kuala Lumpur",360000,2,1.0,1,Serviced Residence (Studio),518,Partly Furnished,Serviced Residence,3.1136,101.6633
"Dutamas, Kuala Lumpur",1600000,4,5.0,3,Condominium (Intermediate),2100,Fully Furnished,Condo,3.1822,101.6654
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",650000,3,2.0,2,Serviced Residence (Corner),1094,Unfurnished,Serviced Residence,3.0925,101.6748
"Pandan Jaya, Kuala Lumpur",350000,3,2.0,2,Townhouse (Intermediate),850,Partly Furnished,Townhouse,3.1285,101.7426
"KLCC, Kuala Lumpur",1085000,2,2.0,1,Condominium (Intermediate),1151,Partly Furnished,Condo,3.1578,101.7123
"City Centre, Kuala Lumpur",2600000,5,5.0,3,Condominium (EndLot),4569,Partly Furnished,Condo,3.1554,101.714
"City Centre, Kuala Lumpur",1380000,1,2.0,1,Serviced Residence (Corner),1131,Partly Furnished,Serviced Residence,3.1554,101.714
"City Centre, Kuala Lumpur",1400000,1,2.0,1,Serviced Residence,1131,Fully Furnished,Serviced Residence,3.1554,101.714
"City Centre, Kuala Lumpur",1800000,3,3.0,1,Serviced Residence (Intermediate),1453,Fully Furnished,Serviced Residence,3.1554,101.714
"Cheras, Kuala Lumpur",1600000,6,5.0,2,Semi-detached House (Intermediate),279,Fully Furnished,Semi-detached House,3.0958,101.7405
"Bukit Jalil, Kuala Lumpur",600000,1,1.0,1,Serviced Residence (Intermediate),660,Partly Furnished,Serviced Residence,3.0593,101.6895
"Setapak, Kuala Lumpur",430000,2,3.0,1,Condominium (Corner),1190,Fully Furnished,Condo,3.2061,101.7271
"Sentul, Kuala Lumpur",450000,2,2.0,2,Serviced Residence (EndLot),794,Partly Furnished,Serviced Residence,3.189,101.6896
"Bukit Jalil, Kuala Lumpur",1050000,5,3.0,2,Condominium (Intermediate),1513,Partly Furnished,Condo,3.0593,101.6895
"Sentul, Kuala Lumpur",350000,1,1.0,1,Serviced Residence (EndLot),581,Partly Furnished,Serviced Residence,3.189,101.6896
"KLCC, Kuala Lumpur",1050000,2,1.0,1,Serviced Residence,883,Fully Furnished,Serviced Residence,3.1578,101.7123
"Taman Desa, Kuala Lumpur",490000,2,2.0,1,Serviced Residence (Corner),719,Partly Furnished,Serviced Residence,3.1026,101.6857
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",680000,3,2.0,2,Condominium (Corner),935,Partly Furnished,Condo,3.0925,101.6748
"Cheras, Kuala Lumpur",320000,3,2.0,1,Condominium (Corner),959,Unfurnished,Condo,3.0958,101.7405
"KLCC, Kuala Lumpur",1080000,1,1.0,1,Condominium,649,Partly Furnished,Condo,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",820000,1,1.0,1,Condominium,538,Fully Furnished,Condo,3.1466,101.7093
"Taman Melawati, Kuala Lumpur",1590000,4,4.0,2,Townhouse,2400,Partly Furnished,Townhouse,3.2117,101.7512
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",655000,3,2.0,2,Condominium,948,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",570000,2,2.0,1,Serviced Residence (Intermediate),672,Partly Furnished,Serviced Residence,3.0925,101.6748
