Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Bukit Bintang, Kuala Lumpur",1500000,4,3.0,2,Serviced Residence,1507,Fully Furnished,Serviced Residence,3.1466,101.7093
"Jalan Kuching, Kuala Lumpur",1150000,4,3.0,3,Condominium,1950,Fully Furnished,Condo,3.1864,101.6752
"KLCC, Kuala Lumpur",2200000,4,4.0,2,Condominium,2315,Fully Furnished,Condo,3.1578,101.7123
"Jalan Kuching, Kuala Lumpur",560000,3,2.0,1,Condominium,1320,Fully Furnished,Condo,3.1864,101.6752
"Jalan Kuching, Kuala Lumpur",560000,3,2.0,1,Condominium,1320,Fully Furnished,Condo,3.1864,101.6752
"Sentul, Kuala Lumpur",589000,3,2.0,2,Condominium,1230,Partly Furnished,Condo,3.189,101.6896
"Cheras, Kuala Lumpur",2500,4,4.0,1,Townhouse,2371,Fully Furnished,Townhouse,3.0958,101.7405
"Jalan Kuching, Kuala Lumpur",630000,3,2.0,2,Condominium (Intermediate),1197,Unfurnished,Condo,3.1864,101.6752
"Cheras, Kuala Lumpur",360000,3,2.0,1,Condominium (Intermediate),920,Partly Furnished,Condo,3.0958,101.7405
"Seputeh, Kuala Lumpur",870000,4,3.0,2,Serviced Residence,1402,Fully Furnished,Serviced Residence,3.1188,101.6832
"Cheras, Kuala Lumpur",620000,3,3.0,2,2-sty Terrace/Link House (EndLot),1441,Unfurnished,Terrace/Link House,3.0958,101.7405
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",805000,3,2.0,2,Condominium (Intermediate),1392,Fully Furnished,Condo,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",900000,4,3.0,2,Condominium (Corner),1457,Partly Furnished,Condo,3.0593,101.6895
"Kuchai Lama, Kuala Lumpur",398000,3,2.0,1,Condominium,1132,Partly Furnished,Condo,3.0922,101.6862
"Bukit Jalil, Kuala Lumpur",630000,3,2.0,3,Condominium,1073,Partly Furnished,Condo,3.0593,101.6895
"Cheras, Kuala Lumpur",438000,3,2.0,1,Serviced Residence,950,Fully Furnished,Serviced Residence,3.0958,101.7405
"Jalan Sultan Ismail, Kuala Lumpur",825000,2,2.0,1,Serviced Residence,924,Fully Furnished,Serviced Residence,3.1536,101.7055
"Jalan Sultan Ismail, Kuala Lumpur",888000,3,2.0,1,Serviced Residence,1120,Fully Furnished,Serviced Residence,3.1536,101.7055
"Ampang, Kuala Lumpur",760000,2,2.0,1,Serviced Residence,950,Fully Furnished,Serviced Residence,3.1589,101.7615
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",598000,4,3.0,1,Condominium,1200,Fully Furnished,Condo,3.0925,101.6748
"Salak Selatan, Kuala Lumpur",680000,3,2.0,2,Serviced Residence,1089,Partly Furnished,Serviced Residence,3.0905,101.7044
"Jalan Ipoh, Kuala Lumpur",630000,3,2.0,1,Condominium,1037,Unfurnished,Condo,3.1934,101.6761
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",500000,3,2.0,2,Condominium,1240,Partly Furnished,Condo,3.0925,101.6748
"Salak Selatan, Kuala Lumpur",428000,2,1.0,2,Serviced Residence,565,Partly Furnished,Serviced Residence,3.0905,101.7044
"Bukit Jalil, Kuala Lumpur",398000,3,2.0,1,Apartment,1098,Partly Furnished,Apartment,3.0593,101.6895
"Setapak, Kuala Lumpur",478000,3,2.0,2,Condominium (Intermediate),1333,Partly Furnished,Condo,3.2061,101.7271
"Ampang, Kuala Lumpur",530000,1,1.0,1,Serviced Residence (Intermediate),680,Fully Furnished,Serviced Residence,3.1589,101.7615
"Wangsa Maju, Kuala Lumpur",450000,2,1.0,2,Condominium,790,Fully Furnished,Condo,3.2041,101.7372
"Setapak, Kuala Lumpur",490000,4,2.0,13,Condominium,1350,Unfurnished,Condo,3.2061,101.7271
"Dutamas, Kuala Lumpur",930000,2,2.0,1,Serviced Residence,1145,Partly Furnished,Serviced Residence,3.1822,101.6654
"Bukit Bintang, Kuala Lumpur",1200000,2,2.0,1,Serviced Residence,948,Fully Furnished,Serviced Residence,3.1466,101.7093
"Mont Kiara, Kuala Lumpur",1050000,4,3.0,2,Serviced Residence,1697,Fully Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1850000,4,4.0,3,Condominium (Corner),4125,Fully Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",290000,2,2.0,1,Apartment (Intermediate),732,Partly Furnished,Apartment,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",990000,2,2.0,1,Serviced Residence (Corner),932,Fully Furnished,Serviced Residence,3.1718,101.6501
"Bukit Bintang, Kuala Lumpur",16000,4,5.0,2,Condominium,3600,Fully Furnished,Condo,3.1466,101.7093
"Setapak, Kuala Lumpur",380000,4,2.0,2,Condominium (Intermediate),950,Unfurnished,Condo,3.2061,101.7271
"Sungai Besi, Kuala Lumpur",830000,2,2.0,2,Serviced Residence (Duplex),1259,Fully Furnished,Serviced Residence,3.0645,101.7162
"Bukit Bintang, Kuala Lumpur",1290000,3,2.0,1,Serviced Residence (Corner),1555,Fully Furnished,Serviced Residence,3.1466,101.7093
"Pandan Perdana, Kuala Lumpur",280000,1,1.0,1,Condominium,450,Partly Furnished,Condo,3.1251,101.7425
"Jalan Kuching, Kuala Lumpur",430000,3,2.0,1,Apartment (Corner),1221,Fully Furnished,Apartment,3.1864,101.6752
"Jalan Ipoh, Kuala Lumpur",580000,3,2.0,2,Condominium (Corner),1037,Partly Furnished,Condo,3.1934,101.6761
"Ampang, Kuala Lumpur",740000,3,2.0,1,Serviced Residence,950,Fully Furnished,Serviced Residence,3.1589,101.7615
"Bukit Jalil, Kuala Lumpur",630000,4,3.0,2,Condominium (Intermediate),1246,Partly Furnished,Condo,3.0593,101.6895
"Segambut, Kuala Lumpur",1900000,7,6.0,5,3-sty Terrace/Link House (Intermediate),4068,Unfurnished,Terrace/Link House,3.189,101.6628
"Segambut, Kuala Lumpur",690000,4,2.0,2,Condominium (Intermediate),1262,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",630000,3,2.0,2,Condominium (Intermediate),1091,Unfurnished,Condo,3.189,101.6628
"Dutamas, Kuala Lumpur",1450000,2,2.0,2,Residential Land,1181,Fully Furnished,Residential Land,3.1822,101.6654
"Kuchai Lama, Kuala Lumpur",440000,3,2.0,1,Serviced Residence,935,Partly Furnished,Serviced Residence,3.0922,101.6862
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",695000,3,2.0,2,Condominium,935,Partly Furnished,Condo,3.0925,101.6748
"Kuchai Lama, Kuala Lumpur",520000,3,2.0,2,Condominium,1120,Fully Furnished,Condo,3.0922,101.6862
"Bukit Jalil, Kuala Lumpur",2600000,4,6.0,3,Condominium,3260,Partly Furnished,Condo,3.0593,101.6895
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",880000,4,3.0,2,Condominium (Duplex),1300,Fully Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",810000,3,2.0,2,Condominium,1488,Partly Furnished,Condo,3.0925,101.6748
"Kuchai Lama, Kuala Lumpur",540000,3,2.0,1,Condominium,1120,Partly Furnished,Condo,3.0922,101.6862
"Bukit Jalil, Kuala Lumpur",450000,4,2.0,1,Condominium,1460,Partly Furnished,Condo,3.0593,101.6895
"Cheras, Kuala Lumpur",550000,3,2.0,2,Condominium,1050,Unfurnished,Condo,3.0958,101.7405
"Setapak, Kuala Lumpur",358000,3,2.0,2,Serviced Residence (Intermediate),856,Unfurnished,Serviced Residence,3.2061,101.7271
"Bukit Bintang, Kuala Lumpur",828000,2,2.0,1,Serviced Residence,1044,Fully Furnished,Serviced Residence,3.1466,101.7093
"Bukit Jalil, Kuala Lumpur",548000,3,2.0,2,Condominium,1050,Partly Furnished,Condo,3.0593,101.6895
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",370000,3,2.0,1,Serviced Residence (Intermediate),950,Partly Furnished,Serviced Residence,3.0925,101.6748
"Cheras, Kuala Lumpur",300000,3,2.0,1,Condominium (Intermediate),820,Unfurnished,Condo,3.0958,101.7405
"Dutamas, Kuala Lumpur",428000,3,2.0,1,Condominium,850,Partly Furnished,Condo,3.1822,101.6654
"Bukit Jalil, Kuala Lumpur",570000,2,2.0,2,Condominium (Intermediate),1032,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",5000,4,4.0,1,Condominium,1600,Fully Furnished,Condo,3.1578,101.7123
"Sungai Besi, Kuala Lumpur",520000,3,2.0,1,Condominium,1180,Partly Furnished,Condo,3.0645,101.7162
"Sungai Besi, Kuala Lumpur",500000,3,2.0,2,Condominium,1074,Partly Furnished,Condo,3.0645,101.7162
"Dutamas, Kuala Lumpur",490000,3,2.0,1,Condominium,1100,Partly Furnished,Condo,3.1822,101.6654
"Taman Desa, Kuala Lumpur",1380000,4,3.0,2,Condominium (Corner),1712,Fully Furnished,Condo,3.1026,101.6857
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",415000,3,2.0,1,Serviced Residence (Intermediate),751,Partly Furnished,Serviced Residence,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",2350000,5,4.0,5,Condominium,3050,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2250000,5,5.0,3,Condominium (Corner),2973,Unfurnished,Condo,3.1718,101.6501
"Taman Tun Dr Ismail, Kuala Lumpur",920000,3,2.0,1,Condominium (Corner),1350,Partly Furnished,Condo,3.1518,101.6292
"Taman Tun Dr Ismail, Kuala Lumpur",1300000,4,3.0,2,Condominium,1825,Fully Furnished,Condo,3.1518,101.6292
"Ampang, Kuala Lumpur",2100000,4,4.0,2,Condominium,1632,Fully Furnished,Condo,3.1589,101.7615
"Cheras, Kuala Lumpur",395000,3,2.0,1,Condominium (Intermediate),927,Fully Furnished,Condo,3.0958,101.7405
"Ampang, Kuala Lumpur",2400000,4,4.0,2,Condominium,1800,Fully Furnished,Condo,3.1589,101.7615
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",620000,2,2.0,1,Serviced Residence,852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",2550000,5,5.0,3,Condominium (Corner),2906,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1250000,4,3.0,2,Condominium (Intermediate),1641,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2700000,5,5.0,3,Condominium (Corner),3541,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1750000,5,5.0,3,Condominium (Corner),2726,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2700000,5,5.0,3,Condominium (EndLot),3980,Partly Furnished,Condo,3.1718,101.6501
"Cheras, Kuala Lumpur",365000,3,2.0,1,Condominium (Corner),1126,Partly Furnished,Condo,3.0958,101.7405
"Cheras, Kuala Lumpur",460000,3,2.0,1,Serviced Residence (Intermediate),1100,Fully Furnished,Serviced Residence,3.0958,101.7405
"Cheras, Kuala Lumpur",348000,2,1.0,1,Serviced Residence (Intermediate),695,Fully Furnished,Serviced Residence,3.0958,101.7405
"Cheras, Kuala Lumpur",400000,2,2.0,1,Serviced Residence (Intermediate),916,Fully Furnished,Serviced Residence,3.0958,101.7405
"Mont Kiara, Kuala Lumpur",1250000,4,3.0,2,Condominium (Intermediate),1703,Fully Furnished,Condo,3.1718,101.6501
"Taman Desa, Kuala Lumpur",630000,3,2.0,1,Serviced Residence (Intermediate),935,Unfurnished,Serviced Residence,3.1026,101.6857
"Seputeh, Kuala Lumpur",628000,2,2.0,2,Condominium,1021,Fully Furnished,Condo,3.1188,101.6832
"Seputeh, Kuala Lumpur",700000,2,2.0,1,Condominium,1011,Partly Furnished,Condo,3.1188,101.6832
"Kuchai Lama, Kuala Lumpur",520000,3,2.0,2,Condominium (Intermediate),1313,Unfurnished,Condo,3.0922,101.6862
"Ampang, Kuala Lumpur",2400000,4,4.0,2,Condominium,1800,Fully Furnished,Condo,3.1589,101.7615
"Seputeh, Kuala Lumpur",1200000,4,4.0,2,Condominium (Duplex),1798,Fully Furnished,Condo,3.1188,101.6832
"Seputeh, Kuala Lumpur",1680000,3,3.0,2,Condominium (Corner),2800,Fully Furnished,Condo,3.1188,101.6832
"City Centre, Kuala Lumpur",1550000,1,1.0,1,Serviced Residence (Corner),1131,Fully Furnished,Serviced Residence,3.1554,101.714
"Desa Pandan, Kuala Lumpur",800000,2,2.0,2,Serviced Residence (Intermediate),1076,Fully Furnished,Serviced Residence,3.1468,101.7375
"City Centre, Kuala Lumpur",2178900,3,2.0,1,Serviced Residence (Corner),1614,Fully Furnished,Serviced Residence,3.1554,101.714
"KLCC, Kuala Lumpur",1100000,2,2.0,1,Serviced Residence (Corner),915,Partly Furnished,Serviced Residence,3.1578,101.7123
"Kepong, Kuala Lumpur",985000,3,2.0,1,1-sty Terrace/Link House,3200,Unfurnished,Terrace/Link House,3.2126,101.637
"Mont Kiara, Kuala Lumpur",1020000,4,3.0,1,Condominium (Corner),1556,Fully Furnished,Condo,3.1718,101.6501
"City Centre, Kuala Lumpur",2090000,4,3.0,1,Condominium (Corner),2321,Partly Furnished,Condo,3.1554,101.714
"Salak Selatan, Kuala Lumpur",585000,2,2.0,2,Serviced Residence,845,Fully Furnished,Serviced Residence,3.0905,101.7044
"KLCC, Kuala Lumpur",4000,4,3.0,2,Condominium (Corner),1807,Fully Furnished,Condo,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",3000,4,2.0,1,Condominium (Corner),1575,Fully Furnished,Condo,3.1466,101.7093
"City Centre, Kuala Lumpur",1650000,5,6.0,2,Condominium,2375,Fully Furnished,Condo,3.1554,101.714
"Mont Kiara, Kuala Lumpur",1750000,5,4.0,3,Condominium,2700,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1000000,2,2.0,2,Serviced Residence,1600,Fully Furnished,Serviced Residence,3.1718,101.6501
"Segambut, Kuala Lumpur",168000,3,2.0,1,Apartment (Intermediate),755,Partly Furnished,Apartment,3.189,101.6628
"Seputeh, Kuala Lumpur",700000,4,3.0,1,Condominium (Corner),1500,Partly Furnished,Condo,3.1188,101.6832
"Segambut, Kuala Lumpur",225000,3,2.0,1,Apartment (Intermediate),855,Partly Furnished,Apartment,3.189,101.6628
"Seputeh, Kuala Lumpur",980000,5,4.0,2,Condominium,2616,Partly Furnished,Condo,3.1188,101.6832
"Taman Desa, Kuala Lumpur",1350000,4,3.0,2,Condominium,1712,Partly Furnished,Condo,3.1026,101.6857
"Dutamas, Kuala Lumpur",2500000,6,6.0,3,Semi-detached House,3860,Fully Furnished,Semi-detached House,3.1822,101.6654
"Batu Caves, Kuala Lumpur",168000,3,2.0,1,Apartment (Intermediate),776,Unfurnished,Apartment,3.236,101.6841
"Bangsar, Kuala Lumpur",1500000,4,4.0,1,Condominium,1977,Fully Furnished,Condo,3.1283,101.6793
"Mont Kiara, Kuala Lumpur",800000,3,2.0,1,Serviced Residence,1294,Fully Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",650000,3,2.0,2,Condominium (Corner),1015,Unfurnished,Condo,3.1718,101.6501
"Jalan Ipoh, Kuala Lumpur",398000,3,2.0,1,Apartment (Corner),855,Partly Furnished,Apartment,3.1934,101.6761
"Jalan Ipoh, Kuala Lumpur",265000,4,2.0,2,Apartment (Intermediate),855,Partly Furnished,Apartment,3.1934,101.6761
"Sentul, Kuala Lumpur",850000,4,4.0,3,Condominium,1381,Fully Furnished,Condo,3.189,101.6896
"Dutamas, Kuala Lumpur",2400000,5,6.0,3,Bungalow,4333,Fully Furnished,Bungalow,3.1822,101.6654
"Bangsar, Kuala Lumpur",1080000,3,2.0,1,Condominium,1200,Fully Furnished,Condo,3.1283,101.6793
"Segambut, Kuala Lumpur",175000,2,2.0,1,Apartment (Intermediate),755,Unfurnished,Apartment,3.189,101.6628
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",730000,4,2.0,2,Serviced Residence (Corner),1094,Fully Furnished,Serviced Residence,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",620000,2,2.0,2,Serviced Residence,791,Partly Furnished,Serviced Residence,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",520000,2,1.0,1,Serviced Residence (Intermediate),667,Partly Furnished,Serviced Residence,3.0593,101.6895
"Taman Desa, Kuala Lumpur",1650000,5,4.0,2,Condominium,2200,Partly Furnished,Condo,3.1026,101.6857
"Setapak, Kuala Lumpur",390000,3,2.0,1,Serviced Residence,1009,Unfurnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",550000,3,2.0,2,Serviced Residence (Intermediate),1260,Unfurnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",360000,2,2.0,2,Serviced Residence (Intermediate),859,Unfurnished,Serviced Residence,3.2061,101.7271
"KL City, Kuala Lumpur",540000,2,2.0,1,Serviced Residence (Corner),750,Fully Furnished,Serviced Residence,3.1543,101.7155
"Mont Kiara, Kuala Lumpur",1579750,3,20.0,1,Serviced Residence,1775,Partly Furnished,Serviced Residence,3.1718,101.6501
"Sentul, Kuala Lumpur",568000,3,2.0,1,Condominium,1079,Partly Furnished,Condo,3.189,101.6896
"Dutamas, Kuala Lumpur",1150000,2,2.0,2,Serviced Residence,1148,Fully Furnished,Serviced Residence,3.1822,101.6654
"Mont Kiara, Kuala Lumpur",1209600,2,2.0,1,Serviced Residence,945,Fully Furnished,Serviced Residence,3.1718,101.6501
"Dutamas, Kuala Lumpur",1199494,2,1.0,1,Serviced Residence,677,Unfurnished,Serviced Residence,3.1822,101.6654
"Mont Kiara, Kuala Lumpur",1125000,2,2.0,1,Serviced Residence,886,Fully Furnished,Serviced Residence,3.1718,101.6501
"Salak Selatan, Kuala Lumpur",750000,3,2.0,2,Serviced Residence,1122,Unfurnished,Serviced Residence,3.0905,101.7044
"KL City, Kuala Lumpur",4000,4,3.0,2,Condominium (Corner),1807,Fully Furnished,Condo,3.1543,101.7155
"Sentul, Kuala Lumpur",1000000,3,3.0,2,Condominium,1569,Fully Furnished,Condo,3.189,101.6896
"Dutamas, Kuala Lumpur",588000,4,3.0,1,Condominium,1400,Partly Furnished,Condo,3.1822,101.6654
"Bukit Jalil, Kuala Lumpur",630000,4,3.0,2,Condominium,1069,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",870000,2,2.0,1,Serviced Residence (Intermediate),850,Fully Furnished,Serviced Residence,3.1578,101.7123
"Cheras, Kuala Lumpur",470000,4,2.0,1,Condominium,1142,Partly Furnished,Condo,3.0958,101.7405
"Cheras, Kuala Lumpur",480000,2,2.0,1,Serviced Residence (Corner),719,Partly Furnished,Serviced Residence,3.0958,101.7405
"Taman Tun Dr Ismail, Kuala Lumpur",2900,1,1.0,1,Serviced Residence (Corner),840,Fully Furnished,Serviced Residence,3.1518,101.6292
"Taman Tun Dr Ismail, Kuala Lumpur",1600000,3,3.0,2,Serviced Residence (Corner),1373,Fully Furnished,Serviced Residence,3.1518,101.6292
"Bukit Jalil, Kuala Lumpur",530000,3,2.0,1,Condominium (Intermediate),1224,Fully Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",915000,1,1.0,1,Serviced Residence,655,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",420000,2,2.0,1,Condominium (Intermediate),985,Fully Furnished,Condo,3.0925,101.6748
"KLCC, Kuala Lumpur",2050000,3,3.0,2,Serviced Residence,1798,Fully Furnished,Serviced Residence,3.1578,101.7123
"City Centre, Kuala Lumpur",690000,3,2.0,1,Condominium (Corner),1200,Fully Furnished,Condo,3.1554,101.714
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",315000,3,2.0,1,Condominium (Intermediate),820,Unfurnished,Condo,3.0925,101.6748
"Bandar Menjalara, Kuala Lumpur",680000,4,3.0,2,Condominium,1316,Fully Furnished,Condo,3.2015,101.6295
"Kuchai Lama, Kuala Lumpur",310000,3,2.0,1,Condominium (Intermediate),1076,Partly Furnished,Condo,3.0922,101.6862
"Pantai, Kuala Lumpur",430000,3,2.0,1,Condominium (Intermediate),1088,Partly Furnished,Condo,3.1136,101.6633
"Cheras, Kuala Lumpur",330000,3,2.0,1,Condominium (Intermediate),861,Partly Furnished,Condo,3.0958,101.7405
"Bandar Tasik Selatan, Kuala Lumpur",280000,3,2.0,1,Apartment (Intermediate),854,Unfurnished,Apartment,3.0658,101.7174
"Dutamas, Kuala Lumpur",528000,4,3.0,1,Condominium,1473,Fully Furnished,Condo,3.1822,101.6654
"Damansara Heights, Kuala Lumpur",1780000,6,5.0,2,Serviced Residence (Corner),2078,Fully Furnished,Serviced Residence,3.1412,101.6618
"KL City, Kuala Lumpur",435000,3,2.0,1,Condominium (Corner),1070,Unfurnished,Condo,3.1543,101.7155
"Damansara Heights, Kuala Lumpur",1620000,2,2.0,1,Serviced Residence (Intermediate),1194,Partly Furnished,Serviced Residence,3.1412,101.6618
"Segambut, Kuala Lumpur",900000,3,2.0,2,Condominium (Intermediate),1300,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",840000,3,2.0,2,Condominium (Intermediate),1319,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",850000,3,2.0,2,Condominium (Intermediate),1319,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",850000,3,2.0,2,Condominium (Intermediate),1319,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",900000,3,2.0,2,Condominium (Intermediate),1300,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",930000,3,2.0,2,Condominium (Intermediate),1306,Partly Furnished,Condo,3.189,101.6628
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",390000,1,2.0,1,Serviced Residence (Duplex),775,Partly Furnished,Serviced Residence,3.0925,101.6748
"Segambut, Kuala Lumpur",950000,3,2.0,2,Condominium (Intermediate),1300,Partly Furnished,Condo,3.189,101.6628
"Segambut, Kuala Lumpur",900000,3,2.0,2,Condominium (Intermediate),1306,Partly Furnished,Condo,3.189,101.6628
"Bukit Bintang, Kuala Lumpur",1465000,2,2.0,2,Condominium (Duplex),998,Partly Furnished,Condo,3.1466,101.7093
"Kepong, Kuala Lumpur",530000,3,2.0,1,Condominium (Intermediate),930,Partly Furnished,Condo,3.2126,101.637
"Kepong, Kuala Lumpur",450000,3,2.0,1,Apartment,1100,Fully Furnished,Apartment,3.2126,101.637
"Setapak, Kuala Lumpur",570000,4,2.0,2,Serviced Residence,1207,Partly Furnished,Serviced Residence,3.2061,101.7271
"Sri Hartamas, Kuala Lumpur",865000,3,3.0,1,Condominium,1675,Fully Furnished,Condo,3.1665,101.6575
"Setapak, Kuala Lumpur",560000,4,2.0,2,Condominium,1600,Fully Furnished,Condo,3.2061,101.7271
"Mont Kiara, Kuala Lumpur",2380000,5,4.0,3,Condominium (Corner),3055,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1780000,5,3.0,2,Condominium (Corner),2580,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1950000,4,2.0,2,Condominium,3000,Fully Furnished,Condo,3.1718,101.6501
"Bukit Bintang, Kuala Lumpur",760000,1,1.0,1,Serviced Residence (Intermediate),696,Fully Furnished,Serviced Residence,3.1466,101.7093
"Dutamas, Kuala Lumpur",500000,3,2.0,1,Condominium (Intermediate),1100,Fully Furnished,Condo,3.1822,101.6654
"Wangsa Maju, Kuala Lumpur",925000,4,3.0,2,Condominium (Corner),1551,Partly Furnished,Condo,3.2041,101.7372
"Mont Kiara, Kuala Lumpur",1100000,4,3.0,2,Condominium (Corner),1605,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1170000,4,3.0,2,Condominium (Corner),1605,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1180000,4,3.0,2,Condominium (Corner),1605,Fully Furnished,Condo,3.1718,101.6501
"Taman Tun Dr Ismail, Kuala Lumpur",1460000,4,3.0,2,Condominium (Intermediate),1836,Fully Furnished,Condo,3.1518,101.6292
"KL Sentral, Kuala Lumpur",980000,2,1.0,1,Condominium (Intermediate),811,Partly Furnished,Condo,3.1328,101.6851
"Mont Kiara, Kuala Lumpur",1080000,4,3.0,3,Condominium (Intermediate),1500,Fully Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1113700,2,2.0,1,Condominium (Intermediate),1591,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1085700,2,2.0,1,Condominium (Intermediate),1551,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1502900,3,3.0,1,Condominium (Intermediate),2174,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",850000,3,2.0,1,Serviced Residence,1248,Partly Furnished,Serviced Residence,3.1718,101.6501
"Bangsar South, Kuala Lumpur",690000,2,2.0,1,Serviced Residence,815,Fully Furnished,Serviced Residence,3.1124,101.6654
"Mont Kiara, Kuala Lumpur",2950000,6,6.0,4,Condominium,3982,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2190000,4,4.0,3,Condominium (Corner),2707,Partly Furnished,Condo,3.1718,101.6501
"Kepong, Kuala Lumpur",370000,3,2.0,1,Condominium (Intermediate),822,Unfurnished,Condo,3.2126,101.637
"Bangsar, Kuala Lumpur",930000,2,2.0,1,Serviced Residence (Corner),1098,Fully Furnished,Serviced Residence,3.1283,101.6793
"Sentul, Kuala Lumpur",1200000,7,7.0,4,3-sty Terrace/Link House,3500,Partly Furnished,Terrace/Link House,3.189,101.6896
"Mont Kiara, Kuala Lumpur",2250000,5,4.0,3,Condominium (Corner),3150,Partly Furnished,Condo,3.1718,101.6501
"Taman Desa, Kuala Lumpur",465000,1,1.0,1,Serviced Residence (Corner),578,Fully Furnished,Serviced Residence,3.1026,101.6857
"Jalan Ipoh, Kuala Lumpur",550000,3,2.0,2,Condominium (Intermediate),1011,Partly Furnished,Condo,3.1934,101.6761
"Jalan Ipoh, Kuala Lumpur",429900,2,1.0,1,Condominium (Intermediate),698,Fully Furnished,Condo,3.1934,101.6761
"Jalan Ipoh, Kuala Lumpur",560000,3,2.0,1,Condominium,1011,Fully Furnished,Condo,3.1934,101.6761
"Jalan Ipoh, Kuala Lumpur",620000,3,2.0,2,Condominium (Intermediate),911,Partly Furnished,Condo,3.1934,101.6761
"Mont Kiara, Kuala Lumpur",1780000,5,4.0,2,Condominium (Corner),2735,Fully Furnished,Condo,3.1718,101.6501
"Titiwangsa, Kuala Lumpur",635000,3,2.0,1,Serviced Residence,1100,Fully Furnished,Serviced Residence,3.1752,101.7038
"Segambut, Kuala Lumpur",365000,3,2.0,1,Apartment,920,Partly Furnished,Apartment,3.189,101.6628
"Jalan Kuching, Kuala Lumpur",520000,2,2.0,1,Condominium,865,Partly Furnished,Condo,3.1864,101.6752
"KLCC, Kuala Lumpur",1050000,4,3.0,2,Serviced Residence (Intermediate),1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1230000,4,4.0,2,Serviced Residence (Intermediate),1378,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1300000,4,4.0,3,Serviced Residence (Corner),1701,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",899000,3,3.0,2,Serviced Residence (Corner),1055,Partly Furnished,Serviced Residence,3.1578,101.7123
